<TICKER>;<PER>;<DATE>;<OPEN>;<CLOSE>;<AMOUNT>;<VOLUME>;<EBITDA>;<FCF>;<OCF>;<OPER INCOME>;<NET INCOME>;<REVENUE>
Sberbank;D;26.04.2022;112,58;122,36;83 540 530;9 832 906 106,8;10,25128205;4,257692308;5,538034188;6,832478633;1,155982906;12,6534188
Sberbank;D;27.04.2022;123;131,11;115 500 050;14 832 382 819,5;10,25128205;4,257692308;5,538034188;6,832478633;1,155982906;12,6534188
Sberbank;D;28.04.2022;132,14;123,85;123 541 890;16 007 384 988,2;10,25128205;4,257692308;5,538034188;6,832478633;1,155982906;12,6534188
Sberbank;D;29.04.2022;123,67;128,8;87 366 110;11 075 903 085,1;10,25128205;4,257692308;5,538034188;6,832478633;1,155982906;12,6534188
Sberbank;D;04.05.2022;129,1;123,2;67 289 000;8 444 076 353,1;10,25128205;4,257692308;5,538034188;6,832478633;1,155982906;12,6534188
Sberbank;D;05.05.2022;124,21;124,8;42 383 000;5 266 724 459,4;10,25128205;4,257692308;5,538034188;6,832478633;1,155982906;12,6534188
Sberbank;D;06.05.2022;124,74;123,1;30 602 500;3 758 705 967,7;10,25128205;4,257692308;5,538034188;6,832478633;1,155982906;12,6534188
Sberbank;D;11.05.2022;123;123,34;32 870 440;4 074 118 445,5;10,25128205;4,257692308;5,538034188;6,832478633;1,155982906;12,6534188
Sberbank;D;12.05.2022;123,1;119,15;30 846 460;3 736 761 907,6;10,25128205;4,257692308;5,538034188;6,832478633;1,155982906;12,6534188
Sberbank;D;13.05.2022;120,45;120,2;22 838 020;2 743 261 781,4;10,25128205;4,257692308;5,538034188;6,832478633;1,155982906;12,6534188
Sberbank;D;16.05.2022;120,9;123,41;34 940 660;4 270 982 372,6;10,25128205;4,257692308;5,538034188;6,832478633;1,155982906;12,6534188
Sberbank;D;17.05.2022;124;127,75;41 963 590;5 288 189 358,3;10,25128205;4,257692308;5,538034188;6,832478633;1,155982906;12,6534188
Sberbank;D;18.05.2022;128,2;125,12;55 565 940;7 149 065 642,2;10,25128205;4,257692308;5,538034188;6,832478633;1,155982906;12,6534188
Sberbank;D;19.05.2022;125,31;125,6;34 246 550;4 282 808 065,6;10,25128205;4,257692308;5,538034188;6,832478633;1,155982906;12,6534188
Sberbank;D;20.05.2022;126,06;122,2;39 288 280;4 854 130 253,9;10,25128205;4,257692308;5,538034188;6,832478633;1,155982906;12,6534188
Sberbank;D;23.05.2022;121,5;119,46;37 976 200;4 587 986 948,8;10,25128205;4,257692308;5,538034188;6,832478633;1,155982906;12,6534188
Sberbank;D;24.05.2022;119,45;123,6;45 164 830;5 467 479 952,3;10,25128205;4,257692308;5,538034188;6,832478633;1,155982906;12,6534188
Sberbank;D;25.05.2022;124,11;124,15;53 511 900;6 588 459 652,6;10,25128205;4,257692308;5,538034188;6,832478633;1,155982906;12,6534188
Sberbank;D;26.05.2022;124,8;123;51 985 140;6 438 132 740,8;10,25128205;4,257692308;5,538034188;6,832478633;1,155982906;12,6534188
Sberbank;D;27.05.2022;123;121,22;32 685 350;3 981 861 287,2;10,25128205;4,257692308;5,538034188;6,832478633;1,155982906;12,6534188
Sberbank;D;30.05.2022;121,6;120,67;24 957 710;3 035 846 751,9;10,25128205;4,257692308;5,538034188;6,832478633;1,155982906;12,6534188
Sberbank;D;31.05.2022;120;118,3;29 983 170;3 557 831 216,3;10,25128205;4,257692308;5,538034188;6,832478633;1,155982906;12,6534188
Sberbank;D;01.06.2022;117,5;121,97;43 785 040;5 296 798 375,3;10,25128205;4,257692308;5,538034188;6,832478633;1,155982906;12,6534188
Sberbank;D;02.06.2022;121,9;119;42 769 900;5 125 256 938,4;10,25128205;4,257692308;5,538034188;6,832478633;1,155982906;12,6534188
Sberbank;D;03.06.2022;119,29;119,21;34 341 530;4 067 212 982,5;10,25128205;4,257692308;5,538034188;6,832478633;1,155982906;12,6534188
Sberbank;D;06.06.2022;119,26;118,78;22 281 970;2 652 231 034,2;10,25128205;4,257692308;5,538034188;6,832478633;1,155982906;12,6534188
Sberbank;D;07.06.2022;118,68;118,32;22 274 020;2 629 117 760,2;10,25128205;4,257692308;5,538034188;6,832478633;1,155982906;12,6534188
Sberbank;D;08.06.2022;118,51;119,9;41 514 970;5 003 858 591,9;10,25128205;4,257692308;5,538034188;6,832478633;1,155982906;12,6534188
Sberbank;D;09.06.2022;120;118,2;29 371 970;3 477 327 986,1;10,25128205;4,257692308;5,538034188;6,832478633;1,155982906;12,6534188
Sberbank;D;10.06.2022;118,03;118,07;25 373 000;3 006 397 517,2;10,25128205;4,257692308;5,538034188;6,832478633;1,155982906;12,6534188
Sberbank;D;14.06.2022;118,03;118,98;37 690 460;4 454 820 677,7;10,25128205;4,257692308;5,538034188;6,832478633;1,155982906;12,6534188
Sberbank;D;15.06.2022;119,4;121,14;52 262 500;6 293 254 524,8;10,25128205;4,257692308;5,538034188;6,832478633;1,155982906;12,6534188
Sberbank;D;16.06.2022;121,5;123,73;47 921 410;5 865 468 454,0;10,25128205;4,257692308;5,538034188;6,832478633;1,155982906;12,6534188
Sberbank;D;17.06.2022;123,97;123,88;36 608 520;4 542 499 796,0;10,25128205;4,257692308;5,538034188;6,832478633;1,155982906;12,6534188
Sberbank;D;20.06.2022;124,1;131,29;65 683 460;8 358 193 641,7;10,25128205;4,257692308;5,538034188;6,832478633;1,155982906;12,6534188
Sberbank;D;21.06.2022;131,98;129,1;75 565 750;9 779 358 224,0;10,25128205;4,257692308;5,538034188;6,832478633;1,155982906;12,6534188
Sberbank;D;22.06.2022;127,88;133,11;67 799 070;8 798 787 966,1;10,25128205;4,257692308;5,538034188;6,832478633;1,155982906;12,6534188
Sberbank;D;23.06.2022;133,9;136,85;108 118 920;14 709 729 514,2;10,25128205;4,257692308;5,538034188;6,832478633;1,155982906;12,6534188
Sberbank;D;24.06.2022;137,16;137,76;45 254 820;6 186 219 567,5;10,25128205;4,257692308;5,538034188;6,832478633;1,155982906;12,6534188
Sberbank;D;27.06.2022;137,7;141,15;69 963 540;9 812 403 018,2;10,25128205;4,257692308;5,538034188;6,832478633;1,155982906;12,6534188
Sberbank;D;28.06.2022;141,75;139,99;54 863 240;7 675 925 017,5;10,25128205;4,257692308;5,538034188;6,832478633;1,155982906;12,6534188
Sberbank;D;29.06.2022;139,8;132,8;55 164 310;7 517 497 903,8;10,25128205;4,257692308;5,538034188;6,832478633;1,155982906;12,6534188
Sberbank;D;30.06.2022;132,5;125,2;91 499 020;11 774 451 572,6;10,25128205;4,257692308;5,538034188;6,832478633;1,155982906;12,6534188
Sberbank;D;01.07.2022;124,13;129,91;60 628 570;7 809 271 635,9;10,25128205;4,257692308;5,538034188;6,832478633;1,155982906;12,6534188
Sberbank;D;04.07.2022;129;131,43;48 006 990;6 244 209 442,1;10,25128205;4,257692308;5,538034188;6,832478633;1,155982906;12,6534188
Sberbank;D;05.07.2022;132;133,5;51 662 270;6 901 128 618,2;10,25128205;4,257692308;5,538034188;6,832478633;1,155982906;12,6534188
Sberbank;D;06.07.2022;133,5;134;47 075 440;6 371 451 571,2;10,25128205;4,257692308;5,538034188;6,832478633;1,155982906;12,6534188
Sberbank;D;07.07.2022;134;133,09;43 059 280;5 736 860 567,7;10,25128205;4,257692308;5,538034188;6,832478633;1,155982906;12,6534188
Sberbank;D;08.07.2022;133,15;133,3;27 635 050;3 656 551 234,1;10,25128205;4,257692308;5,538034188;6,832478633;1,155982906;12,6534188
Sberbank;D;11.07.2022;132,8;126,8;53 725 410;6 951 759 089,7;10,25128205;4,257692308;5,538034188;6,832478633;1,155982906;12,6534188
Sberbank;D;12.07.2022;126,5;129;57 254 290;7 276 446 907,2;10,25128205;4,257692308;5,538034188;6,832478633;1,155982906;12,6534188
Sberbank;D;13.07.2022;129,8;126;45 932 640;5 838 157 717,2;10,25128205;4,257692308;5,538034188;6,832478633;1,155982906;12,6534188
Sberbank;D;14.07.2022;125,97;125,9;41 704 620;5 273 758 237,4;10,25128205;4,257692308;5,538034188;6,832478633;1,155982906;12,6534188
Sberbank;D;15.07.2022;126,06;128,9;44 954 140;5 725 166 716,2;10,25128205;4,257692308;5,538034188;6,832478633;1,155982906;12,6534188
Sberbank;D;18.07.2022;130;128,11;35 478 100;4 560 441 171,4;10,25128205;4,257692308;5,538034188;6,832478633;1,155982906;12,6534188
Sberbank;D;19.07.2022;128;127,76;32 381 170;4 101 676 311,8;10,25128205;4,257692308;5,538034188;6,832478633;1,155982906;12,6534188
Sberbank;D;20.07.2022;128,12;126,44;34 762 350;4 450 301 742,2;10,25128205;4,257692308;5,538034188;6,832478633;1,155982906;12,6534188
Sberbank;D;21.07.2022;126,44;125,48;53 633 030;6 674 132 987,5;10,25128205;4,257692308;5,538034188;6,832478633;1,155982906;12,6534188
Sberbank;D;22.07.2022;125,5;128,82;46 478 250;5 934 551 084,8;10,25128205;4,257692308;5,538034188;6,832478633;1,155982906;12,6534188
